boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,High (RCP 8.5),,,,,,,,,,,,
climate indicator,Precipitation,,,,,,,,,,,,
units,inch,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP8.5RangeMin,ModeledRCP8.5RangeMax,Observed,ACCESS1-0,CanESM2  ,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5  ,GFDL-CM3,HadGEM2-CC,HadGEM2-ES  ,MIROC5  
2058,4.947227337,20.68953039,,5.567857752,17.80211598,19.41461357,14.76872001,12.31431894,12.72078465,10.99874728,14.94759983,13.09142744,11.6813367
2059,5.299930962,19.04665491,,7.802488748,16.74141182,11.09972771,5.559555827,13.88420817,12.08431543,13.85099033,11.44099983,12.18840343,15.6580366
2060,5.501412173,20.86476813,,6.845067347,15.95034819,8.651743741,14.96221487,8.918007496,10.78023116,12.27449921,8.654786225,9.480304862,14.54908842
2061,6.146105681,18.45839938,,9.187379522,16.54788846,14.46444973,8.179355701,13.14647061,11.47302974,10.59334416,14.12665669,8.901565579,8.804511422
2062,5.306645247,20.68161693,,11.0136449,16.97285394,13.8047561,16.39462353,10.15986895,8.25032349,17.82187821,15.15266709,6.111041007,7.800845736
2063,4.387720553,21.59979038,,5.785017678,21.24223171,14.97831878,10.51769524,7.444967889,13.90068219,11.23304407,18.30834821,6.156644545,7.464481155
2064,5.42032253,20.44918457,,6.78725944,19.77066962,10.45218459,12.5666813,11.08495687,9.473236487,9.740782011,17.80969809,13.43460854,10.61086287
2065,5.605229409,19.04190093,,14.54472951,8.814933997,9.566985946,17.93279675,13.57670498,11.18138624,11.42140922,12.59961294,10.02176927,13.54711301
2066,5.093020857,19.43594428,,14.83285441,11.68160998,14.09810357,15.82393056,6.765621567,13.4673662,12.92819955,11.64979683,7.444631943,16.51006456
2067,4.554080034,20.49319981,,6.328121873,15.16570832,6.309537971,8.136768231,6.439471766,14.03233634,17.30475705,7.29354753,7.822191703,8.844614592
2068,5.192085919,22.52848599,,14.29670781,21.92563359,6.130306349,10.68805516,13.56757791,12.64095225,11.83336985,10.17084881,9.893187302,9.826378211
