boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,Medium (RCP 4.5),,,,,,,,,,,,
climate indicator,Minimum Temperature,,,,,,,,,,,,
units,°F,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP4.5RangeMin,ModeledRCP4.5RangeMax,Observed,ACCESS1-0,CanESM2,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5,GFDL-CM3,HadGEM2-CC,HadGEM2-ES,MIROC5 
1973,29.7457695,35.5047493,33.30291367,35.35945511,34.62227249,34.50164032,31.59004593,31.28879929,32.06113815,32.90203094,30.05097008,32.79442215,33.06155396
1974,30.13666344,35.50853729,33.25751114,33.85130692,34.64215851,34.48351288,31.828228,33.56368256,32.63907623,33.75182343,32.70708084,32.40555954,32.75157547
1975,29.53400803,36.05791092,31.99074745,34.80146027,33.19745636,32.81551361,33.17213058,35.11621857,33.43470383,32.03889084,32.78574371,32.2670784,34.78075027
1976,28.89702225,35.43372345,32.09582138,31.69166946,33.53918457,32.20082855,30.16539383,34.58519363,34.59925461,31.69057083,33.90332794,33.75270462,32.7507515
1977,29.93764687,36.30329132,33.3974762,32.69202805,32.32453537,33.14493942,35.49337769,32.52915573,31.90804482,32.3534317,31.20140457,34.47867966,33.4388237
1978,30.21587563,36.29065704,33.17533875,33.49672318,31.71479416,35.91300201,33.57917404,33.01749802,32.29679489,31.04287148,34.01351929,34.47835159,32.18566895
1979,29.90551186,36.79476166,32.87055206,34.01269531,32.61006927,31.8994751,34.19924164,33.47639847,31.23716354,36.57273102,32.4067688,33.06539917,34.10261917
1980,30.07162476,35.21306229,33.79494858,33.7578125,34.06488037,32.81018829,33.36076736,31.80471802,33.31764603,34.34827423,34.53855515,32.1170578,33.74369431
1981,30.3474369,36.55158234,35.0544548,34.40523529,33.70936203,33.66657257,36.53466034,30.89889526,32.31217575,34.14118195,34.57805252,32.03455353,33.63048172
1982,29.11317825,36.21666336,32.46947861,31.7998848,33.17196655,33.12225342,35.10484695,29.2729187,33.35928345,33.23041534,34.35349274,32.91658783,32.42841339
1983,30.18549728,36.22578049,34.37928391,34.1027832,33.47832108,34.64836502,34.42638397,33.07067108,34.01165009,33.00865555,30.96074867,31.73698807,30.81710243
1984,30.61484337,35.95040894,32.81031799,30.8646183,33.22294235,33.38301468,32.44818878,33.74836349,33.54566574,32.09893036,35.52122879,32.63907623,33.20404816
1985,30.26948929,36.34937668,31.65842819,33.72452545,35.55023193,32.9919548,32.67444992,33.40476608,33.06874847,33.94556808,34.71906281,31.72034264,33.21261597
1986,30.86967087,36.24769974,34.67402649,32.25587082,33.8573494,33.850811,30.9957943,32.312397,33.66431808,34.1126709,35.24124146,34.60897827,32.90362549
1987,30.41511154,36.41480255,33.86475754,32.23708344,33.02293777,34.06108856,32.76316452,32.27152634,33.15153122,32.90944672,34.3009758,33.11099243,31.28418541
1988,31.05517578,36.16738892,33.17480087,34.28065109,31.76280594,35.65712738,34.38271332,34.31108475,33.91640091,36.01424026,34.28861618,32.91159058,32.8329277
1989,30.83989906,37.26366043,32.30434418,32.35271454,34.92543793,33.04732513,34.72323608,34.53004074,33.31715012,34.90291595,34.64473724,35.15862274,33.5133667
1990,30.47729492,36.13706589,32.43946457,32.30734253,35.34275436,34.3769455,33.23316193,33.9116745,33.48771286,33.02282715,33.2670517,34.31476593,32.42714691
1991,30.66719437,36.53076172,32.98277664,32.51075363,34.22676468,35.31809235,33.9579277,34.33080292,33.87624359,34.12926102,33.90024948,33.40520477,34.53910446
1992,30.32370567,36.28873444,34.22784805,30.65027428,31.82575607,34.54273224,33.52787018,35.02925873,35.99100494,32.39616776,33.33115768,33.52957153,35.49546433
1993,30.53750038,36.55982208,32.1096077,33.59840012,34.70417404,33.94650269,33.3836174,31.54005814,32.1439743,32.0637207,33.00640106,33.32824707,34.80711746
1994,30.69542885,36.23830414,33.89023209,32.98487091,32.64676666,32.57123566,34.48757935,34.06273651,32.74185181,32.76838303,33.94315338,33.74451828,32.8187561
1995,30.34545898,36.74927902,34.43847656,31.04331017,33.21332932,32.29657745,32.40270233,32.89197922,35.26151276,30.94547653,33.55269623,34.83375931,31.23123169
1996,30.6796627,37.99095535,34.60729218,33.1693306,35.06694412,34.72230148,35.46058273,35.63537598,37.93931961,31.14345169,33.62405396,34.04675293,32.1807251
1997,30.84423828,36.95219803,33.99720001,34.22720337,33.33396149,35.35829926,34.97855759,36.52005005,35.85306931,31.15828323,32.68357086,35.08139038,34.63589478
1998,31.45079422,36.95527267,33.65277481,35.67695999,34.61644745,34.40111542,32.88928986,34.07476807,35.77369308,35.06749344,32.056633,35.65702057,34.32767487
1999,29.891119,37.22647095,32.74460983,35.08248901,33.64437866,34.86825562,33.44289017,32.97245407,32.53294754,34.09465408,32.63407516,33.16592407,33.68228149
2000,31.80537796,37.81962204,34.20547867,35.11423874,33.73506927,32.87357712,34.55052948,35.0366745,34.66665649,34.41144562,34.1480484,34.07289886,32.70614624
