"","year","model","precip","scenario","precipcm"
"139",1970,"CESM1.BGC",8.211738501,"hist",20.85781579254
"140",1971,"CESM1.BGC",13.58710836,"hist",34.5112552344
"141",1972,"CESM1.BGC",10.45527916,"hist",26.5564090664
"142",1973,"CESM1.BGC",8.876065839,"hist",22.54520723106
"143",1974,"CESM1.BGC",9.041037225,"hist",22.9642345515
"144",1975,"CESM1.BGC",15.75564858,"hist",40.0193473932
"145",1976,"CESM1.BGC",9.933840277,"hist",25.23195430358
"146",1977,"CESM1.BGC",10.12521023,"hist",25.7180339842
"147",1978,"CESM1.BGC",16.73611698,"hist",42.5097371292
"148",1979,"CESM1.BGC",10.00352018,"hist",25.4089412572
"149",1980,"CESM1.BGC",10.74634933,"hist",27.2957272982
"150",1981,"CESM1.BGC",19.85298499,"hist",50.4265818746
"151",1982,"CESM1.BGC",12.0091532,"hist",30.503249128
"152",1983,"CESM1.BGC",10.99631613,"hist",27.9306429702
"153",1984,"CESM1.BGC",9.565614045,"hist",24.2966596743
"154",1985,"CESM1.BGC",6.583865072,"hist",16.72301728288
"155",1986,"CESM1.BGC",7.007412314,"hist",17.79882727756
"156",1987,"CESM1.BGC",9.987881791,"hist",25.36921974914
"157",1988,"CESM1.BGC",6.237457571,"hist",15.84314223034
"158",1989,"CESM1.BGC",10.99620659,"hist",27.9303647386
"159",1990,"CESM1.BGC",9.848136869,"hist",25.01426764726
"160",1991,"CESM1.BGC",7.436741082,"hist",18.88932234828
"161",1960,"CMCC.CMS",12.34379257,"hist",31.3532331278
"162",1961,"CMCC.CMS",7.949200863,"hist",20.19097019202
"163",1962,"CMCC.CMS",10.47740515,"hist",26.612609081
"164",1963,"CMCC.CMS",9.459658864,"hist",24.02753351456
"165",1964,"CMCC.CMS",13.53913115,"hist",34.389393121
"166",1965,"CMCC.CMS",11.08123582,"hist",28.1463389828
"167",1966,"CMCC.CMS",9.767342147,"hist",24.80904905338
"168",1967,"CMCC.CMS",17.54692211,"hist",44.5691821594
"169",1968,"CMCC.CMS",12.59273325,"hist",31.985542455
"170",1969,"CMCC.CMS",9.599167193,"hist",24.38188467022
"171",1970,"CMCC.CMS",13.87260898,"hist",35.2364268092
